,precision,recall,f1-score,support
ADJ,0.9611468695143359,0.9601356090717793,0.9606409731563249,8554.0
ADV,0.9386199008768585,0.9041498347410943,0.9210624766180322,5446.0
ADV-KS,0.851528384279476,0.8478260869565217,0.8496732026143791,230.0
ART,0.9889970711628275,0.9931637519872814,0.9910760322056082,12580.0
CUR,0.0,0.0,0.0,296.0
IN,0.5461538461538461,0.7244897959183674,0.6228070175438597,98.0
KC,0.976998904709748,0.9843301699404106,0.980650835532102,4531.0
KS,0.9378531073446328,0.9156816390858944,0.9266347687400319,2538.0
N,0.9702685151198577,0.9403973509933775,0.955099431620784,36542.0
NPROP,0.97558970467337,0.9680597389558233,0.9718101357523071,15936.0
NUM,0.6786912751677853,0.9551357733175915,0.7935262383521334,2541.0
PCP,0.9698051056821301,0.9706043956043956,0.9702045860222436,3640.0
PDEN,0.823914823914824,0.9212454212454212,0.8698659749243407,1092.0
PREP,0.97575329566855,0.9881988318035523,0.9819366301450992,16778.0
PREP+ADV,0.9642857142857143,0.8709677419354839,0.9152542372881356,31.0
PREP+ART,0.9923611791205562,0.9915843037479205,0.9919725893294176,10219.0
PREP+PRO-KS,0.9152542372881356,0.9310344827586207,0.9230769230769231,58.0
PREP+PROADJ,0.9967532467532467,0.9935275080906149,0.9951377633711507,309.0
PREP+PROPESS,1.0,0.9761904761904762,0.9879518072289156,126.0
PREP+PROSUB,0.8954248366013072,0.8782051282051282,0.8867313915857605,156.0
PRO-KS,0.9330079858030168,0.9580865603644647,0.9453809844908968,2195.0
PROADJ,0.9717201166180758,0.974846446329336,0.9732807709154621,3419.0
PROPESS,0.9926697530864198,0.8946453407510431,0.9411119239209949,2876.0
PROSUB,0.9255874673629243,0.9049138481174218,0.91513391416586,1567.0
PU,0.9800706816774146,0.9998513232233125,0.9898621920479844,26904.0
V,0.9929106744986834,0.9947744914007407,0.9938417091157911,19711.0
